timestamp,emg_ch1,emg_ch2,emg_ch3,emg_ch4,emg_ch5,emg_ch6,emg_ch7,emg_ch8,unity_val0,unity_val1,unity_val2,unity_val3,unity_val4,unity_val5,unity_val6,unity_val7,unity_val8,unity_val9,unity_val10,unity_val11,unity_val12,unity_val13,unity_val14,unity_val15,unity_val16,unity_val17,unity_val18,unity_val19,unity_val20,unity_val21,unity_val22,unity_val23,unity_val24,unity_val25,unity_val26,unity_val27,unity_val28,unity_val29,unity_val30,unity_val31,unity_val32,unity_val33,unity_val34,unity_val35,unity_val36,unity_val37,unity_val38,unity_val39,unity_val40,unity_val41,unity_val42,unity_val43,unity_val44,unity_val45,unity_val46,unity_val47,unity_val48,unity_val49,unity_val50,unity_val51,unity_val52,unity_val53,unity_val54,unity_val55,unity_val56,unity_val57,unity_val58,unity_val59,unity_val60,unity_val61,unity_val62,unity_val63,unity_val64,unity_val65,unity_val66,unity_val67,unity_val68,unity_val69,unity_val70,unity_val71,unity_val72,unity_val73,unity_val74,unity_val75,unity_val76,unity_val77
1769622075.8436158,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,19.6284,nan,nan,17.0182,nan,nan,3.9079,nan,nan,nan,nan,nan,nan,nan,nan,9.239,nan,nan,3.4614,nan,nan,1.3588,nan,nan,nan,nan,nan,nan,nan,nan,11.2163,nan,nan,4.9998,nan,nan,5.4453,nan,nan,nan,nan,nan,nan,nan,nan,16.0515,nan,nan,2.9465,nan,nan,10.705,nan,nan,nan,nan,nan,40.6823,nan,nan,21.8406,nan,nan,nan,nan,nan,nan,nan,nan
1769622075.9239402,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,22.0002,nan,nan,19.4014,nan,nan,3.424,nan,nan,nan,nan,nan,nan,nan,nan,10.9714,nan,nan,3.4912,nan,nan,1.7236,nan,nan,nan,nan,nan,nan,nan,nan,11.7124,nan,nan,6.5082,nan,nan,6.5143,nan,nan,nan,nan,nan,nan,nan,nan,16.6244,nan,nan,4.2611,nan,nan,11.4327,nan,nan,nan,nan,nan,39.8137,nan,nan,21.7503,nan,nan,nan,nan,nan,nan,nan,nan
1769622076.015151,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,23.2866,nan,nan,21.7173,nan,nan,3.6504,nan,nan,nan,nan,nan,nan,nan,nan,12.177,nan,nan,3.2874,nan,nan,1.7499,nan,nan,nan,nan,nan,nan,nan,nan,11.7681,nan,nan,6.0204,nan,nan,7.357,nan,nan,nan,nan,nan,nan,nan,nan,17.375,nan,nan,5.6605,nan,nan,11.9103,nan,nan,nan,nan,nan,39.2354,nan,nan,20.9651,nan,nan,nan,nan,nan,nan,nan,nan
1769622076.0716717,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,27.0971,nan,nan,27.2679,nan,nan,4.6442,nan,nan,nan,nan,nan,nan,nan,nan,13.019,nan,nan,3.1033,nan,nan,2.1406,nan,nan,nan,nan,nan,nan,nan,nan,11.9511,nan,nan,5.6375,nan,nan,7.7996,nan,nan,nan,nan,nan,nan,nan,nan,17.7729,nan,nan,6.6317,nan,nan,12.043,nan,nan,nan,nan,nan,38.7447,nan,nan,20.3452,nan,nan,nan,nan,nan,nan,nan,nan
1769622076.17454,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,27.9209,nan,nan,28.4632,nan,nan,5.5519,nan,nan,nan,nan,nan,nan,nan,nan,14.0438,nan,nan,3.6007,nan,nan,2.3047,nan,nan,nan,nan,nan,nan,nan,nan,12.238,nan,nan,9.5457,nan,nan,8.1303,nan,nan,nan,nan,nan,nan,nan,nan,18.0586,nan,nan,7.5102,nan,nan,12.3521,nan,nan,nan,nan,nan,38.0037,nan,nan,20.4452,nan,nan,nan,nan,nan,nan,nan,nan
1769622076.2642996,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,29.9472,nan,nan,29.9844,nan,nan,4.9914,nan,nan,nan,nan,nan,nan,nan,nan,14.5336,nan,nan,3.7676,nan,nan,2.4046,nan,nan,nan,nan,nan,nan,nan,nan,12.2074,nan,nan,9.2644,nan,nan,8.5973,nan,nan,nan,nan,nan,nan,nan,nan,18.1112,nan,nan,7.4651,nan,nan,12.3768,nan,nan,nan,nan,nan,37.5195,nan,nan,20.3653,nan,nan,nan,nan,nan,nan,nan,nan
1769622076.3649704,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,35.0918,nan,nan,34.7884,nan,nan,5.4269,nan,nan,nan,nan,nan,nan,nan,nan,15.6057,nan,nan,3.7602,nan,nan,3.0826,nan,nan,nan,nan,nan,nan,nan,nan,12.5235,nan,nan,8.488,nan,nan,8.0105,nan,nan,nan,nan,nan,nan,nan,nan,18.1193,nan,nan,6.4783,nan,nan,11.3001,nan,nan,nan,nan,nan,36.8975,nan,nan,20.7192,nan,nan,nan,nan,nan,nan,nan,nan
1769622076.452739,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,35.4178,nan,nan,40.815,nan,nan,6.349,nan,nan,nan,nan,nan,nan,nan,nan,16.0097,nan,nan,3.8079,nan,nan,3.1396,nan,nan,nan,nan,nan,nan,nan,nan,12.6139,nan,nan,8.2205,nan,nan,7.575,nan,nan,nan,nan,nan,nan,nan,nan,17.7927,nan,nan,6.4402,nan,nan,11.387,nan,nan,nan,nan,nan,36.3071,nan,nan,20.5821,nan,nan,nan,nan,nan,nan,nan,nan
1769622076.5450203,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,34.423,nan,nan,38.4573,nan,nan,6.7935,nan,nan,nan,nan,nan,nan,nan,nan,14.5278,nan,nan,4.302,nan,nan,2.6388,nan,nan,nan,nan,nan,nan,nan,nan,12.2711,nan,nan,8.5484,nan,nan,6.8921,nan,nan,nan,nan,nan,nan,nan,nan,17.2786,nan,nan,6.576,nan,nan,11.6462,nan,nan,nan,nan,nan,37.3655,nan,nan,21.4795,nan,nan,nan,nan,nan,nan,nan,nan
1769622076.6413777,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,31.1753,nan,nan,33.6349,nan,nan,6.7709,nan,nan,nan,nan,nan,nan,nan,nan,12.9928,nan,nan,4.0358,nan,nan,2.6614,nan,nan,nan,nan,nan,nan,nan,nan,11.9957,nan,nan,7.224,nan,nan,5.9466,nan,nan,nan,nan,nan,nan,nan,nan,16.6828,nan,nan,5.801,nan,nan,11.3399,nan,nan,nan,nan,nan,38.7102,nan,nan,22.3176,nan,nan,nan,nan,nan,nan,nan,nan
1769622076.7356212,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,27.8414,nan,nan,29.494,nan,nan,6.9909,nan,nan,nan,nan,nan,nan,nan,nan,11.5069,nan,nan,3.9121,nan,nan,2.4786,nan,nan,nan,nan,nan,nan,nan,nan,11.7489,nan,nan,6.1216,nan,nan,5.1812,nan,nan,nan,nan,nan,nan,nan,nan,16.2895,nan,nan,4.9409,nan,nan,11.2144,nan,nan,nan,nan,nan,39.458,nan,nan,22.7097,nan,nan,nan,nan,nan,nan,nan,nan
1769622076.82717,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,24.3087,nan,nan,26.2165,nan,nan,6.8717,nan,nan,nan,nan,nan,nan,nan,nan,10.5342,nan,nan,3.9674,nan,nan,2.3612,nan,nan,nan,nan,nan,nan,nan,nan,11.5026,nan,nan,5.1002,nan,nan,4.6929,nan,nan,nan,nan,nan,nan,nan,nan,15.8428,nan,nan,4.7891,nan,nan,10.8647,nan,nan,nan,nan,nan,40.498,nan,nan,22.5924,nan,nan,nan,nan,nan,nan,nan,nan
1769622076.9288094,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,20.4451,nan,nan,22.7138,nan,nan,6.5641,nan,nan,nan,nan,nan,nan,nan,nan,11.2939,nan,nan,4.1023,nan,nan,2.0602,nan,nan,nan,nan,nan,nan,nan,nan,11.198,nan,nan,4.2911,nan,nan,4.5166,nan,nan,nan,nan,nan,nan,nan,nan,15.7593,nan,nan,4.9272,nan,nan,10.4606,nan,nan,nan,nan,nan,41.3785,nan,nan,21.4996,nan,nan,nan,nan,nan,nan,nan,nan
1769622077.0179179,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,17.3287,nan,nan,19.8024,nan,nan,6.6275,nan,nan,nan,nan,nan,nan,nan,nan,13.4142,nan,nan,4.5673,nan,nan,2.0832,nan,nan,nan,nan,nan,nan,nan,nan,10.6823,nan,nan,3.5408,nan,nan,4.4963,nan,nan,nan,nan,nan,nan,nan,nan,15.5467,nan,nan,4.9129,nan,nan,10.7074,nan,nan,nan,nan,nan,41.9767,nan,nan,21.3612,nan,nan,nan,nan,nan,nan,nan,nan
1769622077.1102436,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,16.1911,nan,nan,17.9249,nan,nan,6.5942,nan,nan,nan,nan,nan,nan,nan,nan,19.9208,nan,nan,11.5347,nan,nan,6.2886,nan,nan,nan,nan,nan,nan,nan,nan,12.9898,nan,nan,6.2177,nan,nan,5.8843,nan,nan,nan,nan,nan,nan,nan,nan,17.3133,nan,nan,3.9888,nan,nan,9.9255,nan,nan,nan,nan,nan,42.2364,nan,nan,22.4424,nan,nan,nan,nan,nan,nan,nan,nan
1769622077.2040834,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,16.7466,nan,nan,15.6168,nan,nan,7.1761,nan,nan,nan,nan,nan,nan,nan,nan,29.3247,nan,nan,18.4646,nan,nan,6.4353,nan,nan,nan,nan,nan,nan,nan,nan,17.3868,nan,nan,8.9485,nan,nan,6.0012,nan,nan,nan,nan,nan,nan,nan,nan,17.6248,nan,nan,4.2264,nan,nan,10.1602,nan,nan,nan,nan,nan,41.9564,nan,nan,23.6722,nan,nan,nan,nan,nan,nan,nan,nan
1769622077.307779,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,17.313,nan,nan,14.0047,nan,nan,7.0838,nan,nan,nan,nan,nan,nan,nan,nan,38.1075,nan,nan,23.8141,nan,nan,6.4355,nan,nan,nan,nan,nan,nan,nan,nan,22.0318,nan,nan,10.364,nan,nan,6.1834,nan,nan,nan,nan,nan,nan,nan,nan,17.9093,nan,nan,5.8815,nan,nan,9.7951,nan,nan,nan,nan,nan,41.4904,nan,nan,24.2107,nan,nan,nan,nan,nan,nan,nan,nan
